41,denovo918,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.99,Clostridia,class,0.96,Clostridiales,order,0.96,Ruminococcaceae,family,0.96,Oscillibacter,genus,0.74
42,denovo206,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.92,Clostridia,class,0.9,Clostridiales,order,0.9,Lachnospiraceae,family,0.7,Roseburia,genus,0.32
43,denovo945,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,1,Clostridia,class,1,Clostridiales,order,1,Ruminococcaceae,family,1,Faecalibacterium,genus,1
44,denovo1303,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,1,Bacilli,class,1,Lactobacillales,order,1,Streptococcaceae,family,0.99,Streptococcus,genus,0.99
45,denovo606,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.93,Clostridia,class,0.93,Clostridiales,order,0.93,Ruminococcaceae,family,0.85,Gemmiger,genus,0.25
46,denovo428,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.86,Clostridia,class,0.84,Thermoanaerobacterales,order,0.06,Thermodesulfobiaceae,family,0.06,Thermodesulfobium,genus,0.06
47,denovo989,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.76,Clostridia,class,0.76,Clostridiales,order,0.76,Ruminococcaceae,family,0.74,Anaerofilum,genus,0.26
48,denovo815,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.96,Clostridia,class,0.96,Clostridiales,order,0.96,Lachnospiraceae,family,0.93,Roseburia,genus,0.6
49,denovo1175,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Bacteroidia,class,1,Bacteroidales,order,1,Prevotellaceae,family,1,Paraprevotella,genus,1
50,denovo771,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,1,Erysipelotrichia,class,1,Erysipelotrichales,order,1,Erysipelotrichaceae,family,1,Erysipelotrichaceae_incertae_sedis,genus,1
51,denovo488,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.94,Clostridia,class,0.91,Clostridiales,order,0.91,Ruminococcaceae,family,0.9,Faecalibacterium,genus,0.89
52,denovo1190,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,1,Clostridia,class,1,Clostridiales,order,1,Ruminococcaceae,family,1,Faecalibacterium,genus,1
53,denovo710,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.51,Clostridia,class,0.42,Clostridiales,order,0.4,Ruminococcaceae,family,0.08,Sporobacter,genus,0.01
54,denovo609,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Bacteroidia,class,1,Bacteroidales,order,1,Bacteroidaceae,family,0.99,Bacteroides,genus,0.99
55,denovo23,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.85,Clostridia,class,0.85,Clostridiales,order,0.85,Ruminococcaceae,family,0.79,Oscillibacter,genus,0.38
56,denovo812,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Bacteroidia,class,1,Bacteroidales,order,1,Bacteroidaceae,family,0.98,Bacteroides,genus,0.98
57,denovo779,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.59,Bacilli,class,0.26,Lactobacillales,order,0.18,Streptococcaceae,family,0.15,Lactovum,genus,0.14
58,denovo932,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.98,Clostridia,class,0.94,Clostridiales,order,0.94,Lachnospiraceae,family,0.91,Blautia,genus,0.73
59,denovo782,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.79,Clostridia,class,0.77,Clostridiales,order,0.77,Ruminococcaceae,family,0.44,Oscillibacter,genus,0.14
60,denovo219,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,0.98,Bacteroidia,class,0.97,Bacteroidales,order,0.97,Prevotellaceae,family,0.95,Prevotella,genus,0.67
61,denovo723,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.82,Clostridia,class,0.78,Clostridiales,order,0.78,Ruminococcaceae,family,0.62,Subdoligranulum,genus,0.28
62,denovo88,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.82,Clostridia,class,0.72,Clostridiales,order,0.6,Ruminococcaceae,family,0.14,Sporobacter,genus,0.04
